Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
13809	㗱		精侵入	✓	精開三侵入	✓	精開三〇侵入	tsip	tsip		zap1		ji
13810	㗲		匣合耕入	✓	匣合二耕入	✓	匣合二〇耕入	hweak	ghweek		wak6		huo2
13812	㗴		疑開山平	✓	疑開二山平	✓	疑開二〇山平	ngean	ngeen		ngaan4		yan2
13813	㗵		曉文入	✓	曉合三C文入	✓	曉合三C文入	xjut	hut	fat1	wat1		xu
13819	㗻		匣合一歌平	✓	匣合一歌平	✓	匣合一〇歌平	hwa	ghwa		wo4		huo2
13819	㗻		見合一歌平	✓	見合一歌平	✓	見合一〇歌平	kwa	kwa		gwo1		guo1
13820	㗼		疑嚴入	✓	疑開三C嚴入	✓	疑開三C嚴入	ngjaep	ngyop		jip6		ye4
13822	㗾		曉合三歌平	✓	曉合三C歌平	✓	曉合三C歌平	xjwa	hua		hoe1		xue1
13823	㗿		曉開一歌上	✓	曉開一歌上	✓	曉開一〇歌上	xaX	ha②		ho2		he3
13823	㗿		曉開二麻上	✓	曉開二麻上	✓	曉開二〇麻上	xaeX	hae②		haa2		xia3
13823	㗿		曉開二麻去	✓	曉開二麻去	✓	曉開二〇麻去	xaeH	hae③		haa3		xia4
13824	㘀		精合唐入	✓	精合一唐入	✓	精合一〇唐入	tswak	tswak		zok3		zuo
13824	㘀		精開唐入	✓	精開一唐入	✓	精開一〇唐入	tsak	tsak		zok3		zuo
13825	㘁		以開清入	✓	以開三清入	✓	以開三〇清入	yek	jiaek		jik6		yi4
13830	㘆		透咍上	✓	透開一咍上	✓	透開一〇咍上	thojX	theoj②		toi2		tai3
13832	㘈		疑之去	✓	疑開三C之去	✓	疑開三C之去	ngiH	ngy③		ji6		yi4
13832	㘈		疑開蒸入	✓	疑開三C蒸入	✓	疑開三C蒸入	ngik	ngyk		jik6		yi4
13833	㘉		莊臻入	✓	莊開三臻入	✓	莊開三〇臻入	tsrit	tsryit		zat1		zhe
13835	㘋		匣開先上	✓	匣開四先上	✓	匣開四〇先上	henX	ghen②		hin6		xian4
13835	㘋		匣開先平	✓	匣開四先平	✓	匣開四〇先平	hen	ghen		hin4		xian2
13836	㘌		羣開三庚入	✓	羣開三B庚入	✓	羣開三B庚入	gjaek	gyaek		gik6		ji2
13837	㘍		精開眞入	✓	精開三真入		精開三〇真入	tsit	tsit		zat1		ji
13843	㘓		來開寒平	✓	來開一寒平	✓	來開一〇寒平	lan	lan		laan4		lan2
13849	㘙		疑開三庚入	✓	疑開三B庚入	✓	疑開三B庚入	ngjaek	ngyaek		jik6		yi4
13853	㘝		孃侵入	✓	孃開三侵入	✓	孃開三〇侵入	nrip	nrip		nap6		ni4
13853	㘝		孃咸入	✓	孃開二咸入	✓	孃開二〇咸入	nreap	nreep		naap6		na4
13856	㘠		幫蒸入	✓	幫三B蒸入	✓	幫〇三B蒸入	pik	pyik		bik1		bi
13859	㘣		曉合先平	✓	曉合四先平	✓	曉合四〇先平	xwen	hwen		hyun1		xuan1
13859	㘣		邪合仙平	✓	邪合三仙平	✓	邪合三〇仙平	zjwen	zwien		cyun4		xuan2
13861	㘥		以尤平	✓	以三尤平	✓	以〇三〇尤平	yuw	ju		jau4		you2
13864	㘨		泥添入	✓	泥開四添入	✓	泥開四〇添入	nep	nep		nip6		nie4
13872	㘰		章侵平	✓	章開三侵平	✓	章開三〇侵平	tsyim	tjim		zam1		zhen1
13873	㘱		透談平	✓	透開一談平	✓	透開一〇談平	tham	tham		taam1		tan1
13874	㘲		見三東入	✓	見三C東入	✓	見〇三C東入	kjuwk	kuk		guk1		ju
13883	㘻		影開A眞平	✓	影開三A真平	✓	影開三A真平	jin	′in		jan1		yin1
13887	㘿		泥開先入		泥開四先入	✓	泥開四〇先入	net	net		nit6		nie4
13888	㙀		來尤去	✓	來三尤去	✓	來〇三〇尤去	ljuwH	lu③		lau6		liu4
13889	㙁		明三東入	✓	明三C東入	✓	明〇三C東入	mjuwk	muk		muk6		mu4
13891	㙃		幫耕平		幫二耕平	✓	幫〇二〇耕平	peang	peeng		bang1		beng1
13892	㙄		並齊上	✓	並四齊上	✓	並〇四〇齊上	bejX	bej②		bai6		bi4
13895	㙇		徹鍾入	✓	徹三鍾入	✓	徹〇三〇鍾入	trhjowk	trhuok		cuk1		chu
13898	㙊		澄開陽平	✓	澄開三陽平	✓	澄開三〇陽平	drjang	dryang		coeng4		chang2
13903	㙏		滂三東入	✓	滂三C東入	✓	滂〇三C東入	phjuwk	phuk		fuk1		fu
13913	㙙		來鍾上	✓	來三鍾上	✓	來〇三〇鍾上	ljowngX	luong②		lung5		long3
13920	㙠		影開齊去	✓	影開四齊去	✓	影開四〇齊去	ejH	′ej③		jai3		yi4
13920	㙠		影開齊平	✓	影開四齊平	✓	影開四〇齊平	ej	′ej		jai1		yi1
13921	㙡		精鍾平	✓	精三鍾平		精〇三〇鍾平	tsjowng	tsuong		zung1		zong1
13924	㙤		曉開二麻去	✓	曉開二麻去	✓	曉開二〇麻去	xaeH	hae③		haa3		xia4
13928	㙨		羣開微平	✓	羣開三C微平	✓	羣開三C微平	gj+j	gyj		kei4		qi2
13929	㙩		來宵去	✓	來開三宵去	✓	來開三〇宵去	ljewH	liew③		liu6		liao4
13929	㙩		來蕭平	✓	來開四蕭平	✓	來開四〇蕭平	lew	lew		liu4		liao2
13930	㙪		影開B脂去	✓	影開三B脂去	✓	影開三B脂去	ijH	′yi③		ji3		yi4
13930	㙪		影開齊去	✓	影開四齊去	✓	影開四〇齊去	ejH	′ej③		jai3		yi4
13937	㙱		匣豪去	✓	匣開一豪去	✓	匣開一〇豪去	hawH	ghaw③		hou6		hao4
13938	㙲		影鍾去	✓	影三C鍾去		影〇三C鍾去	jowngH	′uong③		jung3		yong4
13940	㙴		昌鹽去	✓	昌開三鹽去	✓	昌開三〇鹽去	tsyhemH	tjhiem③		cim3		chan4
13943	㙷		澄侵入	✓	澄開三侵入	✓	澄開三〇侵入	drip	drip		zap6		zhi2
13943	㙷		澄鹽入	✓	澄開三鹽入	✓	澄開三〇鹽入	drjep	driep		zip6		zhe2
13947	㙻		澄開仙平	✓	澄開三仙平	✓	澄開三〇仙平	drjen	drien		cin4		chan2
13952	㚀		曉開B支平	✓	曉開三B支平	✓	曉開三B支平	xje	hye		hei1		xi1
13953	㚁		溪B宵去	✓	溪開三B宵去	✓	溪開三B宵去	khjewH	khyew③		hiu3		qiao4
13954	㚂		泥開唐去	✓	泥開一唐去	✓	泥開一〇唐去	nangH	nang③		nong6		nang4
13955	㚃		影文平	✓	影合三C文平	✓	影合三C文平	jun	′un		wan1		yun1
13957	㚅		來三東平	✓	來三東平	✓	來〇三〇東平	ljuwng	lung		lung4		long2
13958	㚆		並三東入	✓	並三C東入		並〇三C東入	bjuwk	buk		fuk6		fu2
13959	㚇		精一東去	✓	精一東去	✓	精〇一〇東去	tsuwngH	tsoung③		zung3		zong4
13959	㚇		精一東平	✓	精一東平	✓	精〇一〇東平	tsuwng	tsoung		zung1		zong1
13962	㚊		溪咍平	✓	溪開一咍平	✓	溪開一〇咍平	khoj	kheoj		hoi1		kai1
13963	㚋		端蕭平	✓	端開四蕭平	✓	端開四〇蕭平	tew	tew		diu1		diao1
13965	㚍		溪灰上	✓	溪合一灰上	✓	溪合一〇灰上	khwojX	khoj②		fui2		kui3
13970	㚒		書開清入	✓	書開三清入	✓	書開三〇清入	syek	sjiaek		sik1		shi
13970	㚒		書鹽上	✓	書開三鹽上	✓	書開三〇鹽上	syemX	sjiem②		sim2		shan3
13972	㚔		匣開耕上	✓	匣開二耕上		匣開二〇耕上	heangX	gheeng②		hang6		heng4
13972	㚔		孃鹽入	✓	孃開三鹽入	✓	孃開三〇鹽入	nrjep	nriep		nip6		nie4
13974	㚖		昌開清入	✓	昌開三清入	✓	昌開三〇清入	tsyhek	tjhiaek		cik1		chi
13974	㚖		見豪上	✓	見開一豪上	✓	見開一〇豪上	kawX	kaw②		gou2		gao3
