	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
焚	bjun	[b]u[n]	bu̠n	bjən	b[ə]n（fén）	bən	bun	bən		b⁽ʱ⁾ən（fén）	bǐwən	bun	bjwən	並三C文平
拂	bjut	pʰ[u]t	phu̠t	pʰjət	pʰ[ə]t（fú）	pʰət	pʰut	pʰət	pʰət（fú）	pʰət（fú）	pʰǐwət	pʰɯd	pʰjwət	滂三C文入入
匋	b-lu	[l]ˤu			[ɫ]ˁu（táo）	lˤu	dow	lû				bl'uː⸗l'uː	dəw	定開一豪平
陶	b-lus⸗lju		zu⸗zu̠	dəgʷ	dˁu（táo）	lˤu	dow⸗dowᶜ⸗jaw	lû⸗lûh⸗law	dɮʱuː（táo）	dɮu（táo）	ʎǐu⸗du	bl'uː⸗l'uː⸗luː	riaw⸗dəw	以開三宵平⸗定開一豪平
僕	bok	[b]ˤok	bok	buk	bˁɔk（pú）	bˤok⸗bˤuk	bok⸗pʰok	bôk⸗pʰôk	boːk（pú）	boːk（pú）	bɔk⸗bɔk	boːg⸗buːg	bewk⸗bəwk	並一冬入入⸗並一東入入
逢	boŋ	[C.b](r)oŋ⸗bˤoŋ	bo̠ŋ	bjuŋ	bˁɔŋ（péng）⸗b⁽ʴ⁾ɔŋ（féng）	b(r)oŋ	bʷoŋ⸗boŋ	boŋ⸗bôŋ		b⁽ʱ⁾oŋ（féng）	bǐwɔŋ	boŋ	bjewŋ	並三C鍾平
蓬	boŋ		boŋ	buŋ	bˁɔŋ（péng）	bˤoŋ	boŋ	bôŋ	bhoːŋ（péng）	bʱoːŋ（péng）	bɔŋ	boːŋ⸗bloːŋ	bewŋ	並一東平
拔	bots⸗brot	bˤ<r>ot⸗bˤot-s	bot⸗brot	bat⸗briat	bʴˁ[ə]t（bá）⸗b[a]θ（bèi）	bˤat⸗brˤət⸗bat	bɑs⸗bɑt⸗bɛt⸗bat	bâts⸗bât⸗brât⸗bât-dap	b⁽ʱ⁾aːt（bá）	b⁽ʱ⁾aːtɕ（bèi）	buat⸗beat	bruːd⸗boːd⸗bod	bwat⸗briwat	並三C元入入⸗並一寒入入⸗並二山入入
茷	bots	[b]ˤ[a][t]-s		padh	b[a]θ（pèi）	pˤath⸗bat⸗bath	bʷɑt⸗bɑs	bat⸗bâts			pat	paːds⸗bads⸗bad	pwar	並三C元入入⸗並三C廢去⸗幫一泰去
旆	bots		bos	badh	b[a]θ（pèi）	bˤath	bɑs	bâts	b⁽ʱ⁾aːtɕ（pèi）	bʱaːtɕ（pèi）	bat	boːbs	bwar	並一泰去
白	brak	bˤrak	brak	brak	bʴˁak（bái）	brˤak	bak	brâk	braːk（bái）	braːk（bái）	beak	braːg	brwak	並二庚入入
彭	braŋ⸗paŋ	C.[b]ˤraŋ	braŋ⸗braŋ	braŋ	bʴˁaŋ（péng）	brˤaŋ	baŋ⸗bɑŋ⸗pɑŋ	brâŋ⸗bâŋ⸗pâŋ	b⁽ʱ⁾aːŋ（péng）	paːŋ（péng）	beaŋ	braːŋ	brwaŋ	並二庚平
牌	bre					brˤe					be	breː⸗breː		並二佳平⸗並二皆平
排	brɨj	[b]ˤrəj			bʴˁ[ə]i（pái）	brˤ[ə]i❓	bɛj	brə̂j	brəːj（pái）		beəi	brɯːl	brwər	並二皆平
兩	b-rjaŋʔ	p.raŋʔ	ra̠ŋʔ	ljaŋx	ɹaŋʔ（liǎng）	raŋʔ⸗raŋh	ljɑŋᴮ⸗ljɑŋᶜ	raŋʔ⸗raŋh	rʱáŋ（liǎng）	rʱaŋʔ（liǎng）	lǐaŋ	raŋʔ⸗raŋs	liaŋ⸗liaŋ	來開三陽上⸗來開三陽去
平	brjeŋ	[b]en⸗breŋ⸗m-breŋ	bi̠ŋ	bjiŋ	bʴɛŋ（píng）⸗bʴɛŋ（píng）⸗bɛn（pián）	breŋ⸗ben	bɨ̯ɛŋ	breŋ	bhreŋ（píng）	bʱreŋ（píng）	bǐeŋ	ben⸗beŋ	bieŋ	並三B庚平⸗並三A仙平
苹	brjeŋ	[b]ˤeŋ	bi̠ŋ	bjiŋ	bˁɛŋ（píng）	breŋ	bɨ̯ɛŋ⸗beŋ	breŋ⸗bêŋ		b⁽ʱ⁾reŋ（píng）	bǐeŋ	beŋ	bieŋ	並三B庚平
駓	brjɨ⸗pʰrjɨ		phe̠	pʰjiəg	pʰʴə（pī）	pʰrə	pʰɨ̯ə	pʰrə		pʰrə（pī）	pʰǐə	pʰrɯ	pʰiwəɣ	滂三B脂平
備	brjɨks	[b]rək-s	be̠s	bjiəgh	bʴəh（bèi）	brəkh	bɨᶜ⸗bɨ̯əᶜ	brəkh	brəh（bèi）	brəʔh（bèi）	bǐə	brɯgs	biwəɣ	並三B脂去
貧	brjɨn	[b]rə[n]		bjiən	bʴ[ə]n（pín）	brən	bɨn	brən	bhrən（pín）	bʱrən（pín）	bǐən	brɯn	biwən	並三B真平
憑	brjɨŋ	[b]rəŋ			bʴəŋ（píng）	brəŋ	bɨŋ	brəŋ	bəŋ（píng）		bǐəŋ	bɯŋ	biəŋ	並三B蒸平
凌	b-rjɨŋ⸗C-rjɨŋ	[r]əŋ⸗p.rəŋ	re̠ŋ	ljəŋ	ɹəŋ（líng）⸗ɹəŋ（líng）	rəŋ	lɨŋ	rəŋ	rəŋ（líng）		lǐəŋ	rɯŋ	liəŋ	來開三蒸平
陵	b-rjɨŋ	[r]əŋ	re̠ŋ	ljəŋ	ɹəŋ（líng）	rəŋ	lɨŋ	rəŋ	rəŋ（líng）	rəŋ（líng）	lǐəŋ	rɯŋ	liəŋ	來開三蒸平
帆	brjom					bam	bʷɑm	bam			bǐwəm	bom⸗boms	bjwam	並三C凡平⸗並三C凡去
梵	brjoms					bəm	bʷɑm				bǐwəm	bloms⸗bum		並三C東平⸗並三C凡去
弁	brjons	C.[b]ro[n]-s	bo̠ns	bjianh	bʴ[a]nh（biàn）	branh	bɨ̯anᶜ	brans	b⁽ʱ⁾renh（biàn）	brenh（biàn）	bǐan	brons	biwan	並三B仙去
孌	b-rjonʔ	[r]onʔ	ro̠n	bljanx⸗bljanh	ɹɔnʔ（liàn）	ronʔ⸗ronh	lɥanᴮ⸗lɥanᶜ	ronʔ	rwán（lǚan）	r⁽ʱ⁾onʔ（liàn）	lǐwan	b·ronʔ⸗b·rons	liwan⸗liwan	來合三仙上⸗來合三仙去
臨	b-rjum	(p.)rum	ru̠m	bljəm⸗bljəmh	ɹəm（lín）	rəm⸗rəmh	lim⸗limᶜ	rəm⸗rəms		rəm（lín）	lǐəm⸗lǐəm	b·rɯm⸗b·rɯms	liəm⸗liəm	來開三侵去⸗來開三侵平
律	b-rjut	[r]ut	ru̠t	bljət	ɹut（lǜ）⸗ɹut（lǜ）	rut	lʷit	rut	rwət（lǜ）	rut（lǜ）	lǐwət	rud	liwət	來合三真入入
录	b-rok⸗C-rok				ɹˁɔk（lù）		lok	rôk				b·roːg		來一東入入
禄	b-rok		lok		ɹˁɔk（lù）		lok	rôk				roːg		來一東入入
䜌	b-ron	mə.rˤo[n]		luan⸗ljuan⸗ljuanh	ɹˁɔn（luán）	rˤon⸗ron⸗ronh	lʷɑn	rôn					lwan⸗liwan⸗liwan	來合三仙去⸗來合三仙平⸗來合一寒平
欒	b-ron	[m]ə.rˤon⸗[r]ˤo[n]	ron	blan	ɹˁɔn（luán）⸗ɹˁɔn（luán）	rˤon	lʷɑn	rôn	r⁽ʱ⁾waːn（luán）	r⁽ʱ⁾oːn（luán）	luan	b·roːn	lwan	來合一寒平
鑾	b-ron	[m]ə.rˤon		blan	ɹˁɔn（luán）	rˤon	lʷɑn	rôn	r⁽ʱ⁾waːn（luán）		luan	b·roːn	lwan	來合一寒平
龐	b-roŋ	[b]ˤroŋ		bruŋ	bɹˁɔŋ（páng）	brˤoŋ		rôŋ		b⁽ʱ⁾roːŋ（páng）	beɔŋ	broːŋ	brewŋ	並二江平
匏	bru	[b]ˤru	bru	brəgʷ	bʴˁu（páo）	brˤu	bɔw	brû	bruː（páo）	bruː（páo）	beu	bruː	brəw	並二肴平
炮	bru		bru	brəgʷ⸗pʰrəgʷh	bʴˁu（páo）	pʰrˤuh⸗brˤu	bɔw	brû	pʰruːh（pào）	b⁽ʱ⁾ruː（páo）	beu⸗pʰeu	pʰruːs⸗bruː	brəw⸗pʰrəw	滂二肴去⸗並二肴平
裒	bU⸗buw		bo		bu（póu）	bˤo	bo	bû	bhroː（póu）	bʱruː（póu）	bu	bu	bew	並一侯平
悖	buts	[b]ˤut-s⸗[b]ˤut	bus⸗but		bˁ[ə]θ（bèi）⸗bˁ[ə]t（bó）	bˤət⸗bˤəth	bət⸗bəs	bə̂t⸗bə̂ts	bəːtɕ（bèi）	bəːtɕ（bèi）⸗bəːtɕ（bó）	buəi	bɯːds⸗bɯːd	bwər⸗bwət	並一魂入入⸗並一灰去
仂	C-r(j)ɨk					rˤək⸗rək	lək⸗lɨk	rə̂k⸗rək			lək	rɯːg⸗rɯg	liək⸗lək	來開一登入入⸗來開三蒸入入
翏	C-r(j)iw(s)⸗g-r(j)iw(s)	[r]iw-s		gliəgʷ⸗gljəgʷh	ɹiuh（liù）	rˤiu⸗ruh	lew⸗ljuᶜ	rjû⸗rjuh				g·rɯːw⸗g·rɯws	leəw⸗liəw	來三尤去⸗來開四蕭平
羅	C-raj	rˤaj	rar	lar	ɹˁai（luó）	rˤai	lɑ⸗lɑj	râj	raːj（luó）	raːj（luó）	lai	raːl	la	來開一歌平
蘿	C-raj		rar	lar	ɹˁai（luó）	rˤai	lɑj	râj	raːj（luó）	r⁽ʱ⁾aːj（luó）	lai	raːl	la	來開一歌平
駱	C-rak	[r]ˤak	lak	glak	ɹˁak（luò）	rˤak	lɑk	râk		r⁽ʱ⁾aːk（luò）	lak	g·raːg	lak	來開一唐入入
雒	C-rak		lak	glak	ɹˁak（luò）	rˤak	lɑk	râk		r⁽ʱ⁾aːk（luò）	lak	g·raːg	lak	來開一唐入入
狼	C-raŋ	[r]ˤaŋ	laŋ	laŋ	ɹˁaŋ（láng）	rˤaŋ	lɑŋ	râŋ	raːŋ（láng）	raːŋ（láng）	laŋ	raːŋ	laŋ	來開一唐平
琅	C-raŋ	[r]ˤaŋ		laŋ	ɹˁaŋ（láng）⸗ɹˁaŋ（láng）	rˤaŋ	lɑŋ⸗lɑŋᶜ	râŋ⸗râŋh			laŋ	raːŋ	laŋ	來開一唐平
稂	C-raŋ	[r]ˤaŋ	laŋ	laŋ	ɹˁaŋ（láng）	rˤaŋ	lɑŋ	râŋ		r⁽ʱ⁾aːŋ（láng）	laŋ	raːŋ	laŋ	來開一唐平
爛	C-rans	[r]ˤan-s	rans		ɹˁanh（làn）	rˤanh	lɑnᶜ	râns	raːnh（làn）	raːnh（làn）	lan	g·raːns⸗g·raːnʔ		來開一寒去
剌	C-rat	mə.rˤat⸗C.rˤat❓		lat	ɹˁat（là）	rˤat	lɑt	rât	r⁽ʱ⁾aːt（là）		lat	raːd	lat	來開一寒入入
賴	C-rats	rˤa[t]-s		ladh	ɹˁaθ（lài）	rˤath	lɑs	râts	rʱaːtɕ（lài）		lat	raːds	lar	來開一泰去
勞	C-raw(s)	[r]ˤaw⸗[r]ˤaw-s	lɯ	lagʷ	ɹˁau（láo）⸗ɹˁauh（lào）	rˤau⸗rˤauh	lɑw⸗lɑwᶜ	râw⸗râwh	raːw（láo）	raːw（láo）	lau⸗lau	raːw⸗raːws	law⸗law	來開一豪平⸗來開一豪去
潦	C-rawʔ		rɯʔ	lagʷx	ɹˁauʔ（lǎo）	rˤauʔ	lɑwᴮ	râwʔ	r⁽ʱ⁾áːw（lào）	r⁽ʱ⁾aːwʔ（lǎo）	lau⸗lau	reːwʔ⸗reːws	law	來開一豪上⸗來開一豪去
虜	C-raʔ	C.rˤaʔ	raʔ	lagx	ɹˁaʔ（lǔ）	rˤaʔ	lɑᴮ	raʔ⸗râʔ	r⁽ʱ⁾áː（lǔ）	r⁽ʱ⁾aːʔ（lǔ）	la	raːʔ	laɣ	來一模上
魯	C-raʔ	[r]ˤaʔ⸗r.ŋˤaʔ	laʔ	lagx	ɹˁaʔ（lǔ）⸗ɹˁaʔ（lǔ）	rˤaʔ	lɑᴮ	râʔ		raːʔ（lǔ）	la	raːʔ	laɣ	來一模上
鬲	C-rek⸗g-rek	C.qˤ<r>ik⸗k.rˤek		krik⸗glik	k[ɹ]ˁɛk（gé）⸗ɹˁɛk（lì）	krˤek⸗rˤek	lek⸗kɛk	rêk⸗krêk	r⁽ʱ⁾eːk（lì）		liek	kreːg⸗g·reːg	krek⸗lek	來開四青入入⸗見開二耕入入
鈴	C-reŋ		liŋ	liŋ		rˤ[e]ŋ	leŋ	rêŋ			lieŋ	reːŋ	leŋ	來開四青平
靈	C-reŋ	[r]ˤeŋ	riŋ	liŋ	ɹˁɛŋ（líng）	rˤeŋ	leŋ	rêŋ	reːŋ（líng）	reːŋ（líng）	lieŋ	reːŋ	leŋ	來開四青平
令	C-reŋ⸗C-rjeŋ(s)⸗C-rjiŋ(s)	[r]ˤiŋ⸗riŋ⸗riŋ-s	liŋ⸗li̠ŋ⸗li̠ŋs	ljiŋ⸗liŋ⸗ljiŋh	ɹˁiŋ（líng）⸗ɹiŋ（líng）⸗ɹiŋh（lìng）	rˤ[e]ŋ⸗rˤeŋh⸗reŋh	ljeŋ⸗ljeŋᶜ⸗ljan	reŋ⸗reŋh⸗rin⸗rins⸗ren⸗reŋ						
麗	C-res	[r]ˤe-s	re̠r	ljig⸗ligh	ɹˁɛh（lì）	rˤeh⸗re	leᶜ	rêh	reːh（lì）		lǐe⸗lie	reːls⸗rel	lieɣ⸗leɣ	來開三支平⸗來開四齊去
戾	C-rets	[r]ˤe[t]-s	lis	lidh	ɹˁəθ（lì）	rˤəth	les⸗let	rîts⸗rît	r⁽ʱ⁾əːtɕ（lì）	r⁽ʱ⁾iːtɕ（lì）	liei	rɯːds⸗rɯːd	ler⸗leət	來開四先入入⸗來開四齊去
膋	C-rew		rɯ		ɹˁɛu（liáo）	rˤeu❓	lew	rjâw	r⁽ʱ⁾eːw（liaó）	r⁽ʱ⁾eːw（liáo）	liau	reːw	leaw	來開四蕭平
寮	C-rew					rˤeu	lew⸗lewᴮ	rjâw⸗rjâwʔ	r⁽ʱ⁾eːw（liáo）		liau	reːw	leaw	來開四蕭平
櫟	C-rewk	[r]ˤewk	rɯk	grjakʷ⸗ŋliakʷ	ɹˁɛuk（lì）	rˤeuk⸗l[a]uk	lek⸗lewk	rjâwk		r⁽ʱ⁾eːkʷ（lì）	liauk	lawɢ⸗reːwɢ	ɣriawk⸗leawk	以開三陽入入⸗來開四青入入
僚	C-rewʔ	[r]ˤew	rɯ	liagʷ⸗ljagʷx	ɹˁɛu（liáo）	rˤeu⸗r[a]uʔ	lew⸗lewᴮ	rjâw⸗rjâwʔ	r⁽ʱ⁾eːw（liáo）	r⁽ʱ⁾eːw（liáo）	liau⸗lǐau	rewʔ⸗reːw	leaw⸗liaw	來開三宵上⸗來開四蕭平
暸	C-rewʔ													
萊	C-rɨ		le	ləg⸗ləgh	ɹˁə（lái）	rˤə⸗rˤəh	lə⸗ləᶜ	rə̂⸗rə̂h	r⁽ʱ⁾əː（lái）	r⁽ʱ⁾əː（lái）	lə	rɯː⸗rɯːs	ləɣ⸗ləɣ	來開一咍去⸗來開一咍平
來	C-rɨ(k)(s)	mə.rˤək⸗mə.rˤə⸗rˤə	le⸗lek	ləg	ɹˁə（lái）⸗ɹˁə（lái）	rˤə	mɛk⸗lə	mrə̂k⸗rə̂⸗rə̂k	rəː（lái）⸗rəːh（lài）	rəː（lái）	lə	m·rɯːg⸗rɯː	ləɣ	來開一咍平
黎	C-rɨj	[r]ˤij	rir	lid	ɹˁi（lí）⸗ɹˁi（lí）	rˤi	lej	rî	rəːj（lí）	rəːj（lí）	liei	riːl	ler	來開四齊平
禮	C-rijʔ	[r]ˤijʔ	lirʔ	lidx	ɹˁiʔ（lǐ）	rˤiʔ	lejᴮ	rîʔ	ríːj（lǐ）	riːjʔ（lǐ）	liei	riːʔ	ler	來開四齊上
醴	C-rijʔ		lirʔ	lidx	ɹˁiʔ（lǐ）	rˤiʔ	lejᴮ	rîʔ	r⁽ʱ⁾íːj（lǐ）	r⁽ʱ⁾iːjʔ（lǐ）	liei	riːʔ	ler	來開四齊上
鱧	C-rijʔ		lirʔ	lidx	ɹˁiʔ（lǐ）	rˤiʔ	lejᴮ	rîʔ		r⁽ʱ⁾iːjʔ（lǐ）	lie	riːʔ	ler	來開四齊上
阞	C-rɨk			lək		rˤək	lək	rə̂k			lək	rɯːg	lək	來開一登入入
扐	C-rɨk			lək		rˤək	lək	rə̂k				rɯːg	lək	來開一登入入
泐	C-rɨk			lək		rˤək	lək	rə̂k			lək	rɯːg⸗rɯg	lək	來開一登入入⸗來開三蒸入入
苓	C-riŋ		liŋ	liŋ	ɹˁiŋ（líng）	rˤ[e]ŋ	leŋ	rêŋ⸗rîn	r⁽ʱ⁾iːŋ（líng）	r⁽ʱ⁾iːn（líng）	lieŋ	reːŋ	leŋ	來開四青平
零	C-riŋ	[r]ˤiŋ		liŋ	ɹˁiŋ（líng）	rˤ[e]ŋ⸗rˤeŋh	leŋ	rêŋ⸗rîn	riːŋ（líng）	riːn（líng）	lieŋ	riːŋ⸗reːŋ⸗reːŋs	leŋ	來開四青平⸗來開四先平⸗來開四青去
聊	C-riw	[r]ˤiw	ru	liəgʷ	ɹˁiu（liáo）	rˤiu❓	lew	rjû⸗rîw	riːw（liáo）	riːw（liáo）	liu	m·rɯːw	leəw	來開四蕭平
蓼	C-riwʔ		ru̠k⸗rɯʔ	gliəgʷx⸗gljəkʷ	ɹˁiuʔ（liǎo）	rˤiuʔ⸗riuk	lewᴮ⸗ljuk	rjûʔ⸗rjuk⸗rîwʔ⸗riwk		r⁽ʱ⁾iːwʔ（liǎo）	liu⸗lǐuk	rɯːwʔ⸗rɯwɢ	leəw⸗liəwk	來三東入入⸗來開四蕭上
廬	C-rja	[r]a	ra̠	ljag	ɹa（lú）	ra	ljɑ	ra	r⁽ʱ⁾a（lú）	r⁽ʱ⁾a（lú）	lǐa	ra	liaɣ	來開三魚平
藘	C-rja	[r]a	ra̠		ɹa（lǘ）	ra			r⁽ʱ⁾a（lǘ）	r⁽ʱ⁾a（lǘ）	lǐa	ra		來開三魚平
罹	C-rjaj	[r]aj	ra̠r		ɹai（lí）	rai	ljaj	raj	raj（lí）	r⁽ʱ⁾aj（lí）	lǐai	rel	lia	來開三支平
縭	C-rjaj		ra̠r	ljar	ɹai（lí）	rai	ljaj	raj	r⁽ʱ⁾aj（lí）	r⁽ʱ⁾aj（lí）	lǐai	rel	lia	來開三支平
離	C-rjaj	[r]aj⸗raj-s	ra̠r	ljiar⸗ljiarh	ɹai（lí）⸗ɹai（lí）⸗ɹaih（lì）	rai⸗raih	ljaj⸗ljajᶜ	raj⸗rajh	raj（lí）	raj（lí）	lǐai⸗lǐai	reːls⸗rel⸗rels	lia⸗lia	來開三支平⸗來開四齊去⸗來開三支去
詈	C-rjajs	C.raj-s	ra̠rs		ɹaih（lì）	raih	ljeᶜ	reh	rʱeh（lì）		lǐe	rals	lieɣ	來開三支去
連	C-rjan	C.ra[n]⸗[r]a[n]	re̠n	ljan	ɹan（lián）⸗ɹan（lián）	ran	ljanᴮ⸗ljan	ranʔ⸗renʔ⸗ran⸗ren	ran（lián）	ran（lián）	lǐan	ren	lian	來開三仙平
漣	C-rjan	[r]a[n]	re̠n		ɹan（lián）	ran	ljan	ran⸗ren		r⁽ʱ⁾an（lián）	lǐan	ren	lian	來開三仙平⸗來開三仙去
良	C-rjaŋ	[r]aŋ	la̠ŋ	ljaŋ	ɹaŋ（liáng）	raŋ	ljɑŋ	raŋ		raŋ（liáng）	lǐaŋ	raŋ	liaŋ	來開三陽平
梁	C-rjaŋ	raŋ	ra̠ŋ	ljaŋ	ɹaŋ（liáng）	raŋ	ljɑŋ	raŋ	raŋ（liáng）	raŋ（liáng）	lǐaŋ	raŋ	liaŋ	來開三陽平
粱	C-rjaŋ	[r]aŋ	ra̠ŋ	ljaŋ	ɹaŋ（liáng）	raŋ	ljɑŋ	raŋ	raŋ（liáng）		lǐaŋ	raŋ	liaŋ	來開三陽平
糧	C-rjaŋ	[r]aŋ	ra̠ŋ	ljaŋ	ɹaŋ（liáng）	raŋ	ljɑŋ	raŋ	raŋ（liáng）	raŋ（liáng）	lǐaŋ	raŋ	liaŋ	來開三陽平
亮	C-rjaŋs	[r]aŋ-s			ɹaŋh（liàng）	raŋh	ljɑŋᶜ	raŋh	raŋh（liàng）		lǐaŋ	raŋs	liaŋ	來開三陽去
烈	C-rjat	[r]at	ra̠t	ljat	ɹat（liè）	rat	ljat	rat	rʱat（liè）	rʱat（liè）	lǐat	red⸗rad	liat	來開三仙入入
裂	C-rjat	[r]at		ljat	ɹat（liè）	rat	ljat	rat⸗ret	rat（liè）		lǐat	red	liat	來開三仙入入
燎	C-rjaws		rɯ̠ʔ	ljagʷ⸗ljagʷx⸗ljagʷh	ɹ[a]u（liáo）	r[a]u⸗r[a]uʔ⸗r[a]uh	ljɑw⸗ljɑwᶜ⸗lewᶜ	rjaw⸗rjawh⸗rjâwh	r⁽ʱ⁾eːwh（liào）	r⁽ʱ⁾aw（liáo）	lǐau⸗lǐau⸗lǐau	rew⸗rewʔ⸗rews	liaw⸗liaw⸗liaw	來開三宵上⸗來開三宵去⸗來開三宵平
廉	C-rjem	(k-)rem⸗[r]em		gljam	ɹɛm（lián）⸗ɹɛm（lián）	rem	ljam	rem	rem（lián）		lǐam	g·rem	liam	來開三鹽平
領	C-rjeŋʔ	[r]eŋʔ	li̠ŋʔ	ljiŋx	ɹiŋʔ（lǐng）	reŋʔ	ljeŋᴮ	reŋʔ	rʱéŋ（lǐng）	rʱeŋʔ（lǐng）	lǐeŋ	reŋʔ	lieŋ	來開三清上
栵	C-rjets		ra̠t	ljadh⸗ljat	ɹaθ（lì）	rat⸗rath	ljas⸗ljat	rats⸗rets	r⁽ʱ⁾atɕ（liè）	r⁽ʱ⁾atɕ（lì）	lǐat	reds⸗red	liar⸗liat	來開三仙入入⸗來開三祭去
貍	C-rjɨ	p.rə	re̠	ljəg	ɹə（lí）	rə	ljə	rə	rʱə（lí）			p·rɯ⸗rɯ	liəɣ	來開三之平
履	C-rjijʔ	[r]ijʔ	li̠rʔ	ljidx	ɹiʔ（lǚ）	riʔ	liᴮ	riʔ	r⁽ʱ⁾íj（lǚ）	r⁽ʱ⁾ijʔ（lǚ）	lǐei	riʔ	lier	來開三脂上
力	C-rjɨk	k.rək	re̠k	ljək	ɹək（lì）	rək	lɨk	rək	rək（lì）	rək（lì）	lǐək	rɯg	liək	來開三蒸入入
朸	C-rjɨk	krək		ljək⸗lək	kɹək（jí）	rˤək⸗rək	lɨk	rək				rɯːg⸗rɯg	liək⸗lək	來開一登入入⸗來開三蒸入入
林	C-rjɨm	[r]əm	ru̠m	gljəm	ɹəm（lín）	rəm	lim	rəm	rəm（lín）	rəm（lín）	lǐəm	g·rɯm	liəm	來開三侵平
鄰	C-rjin	(mə.)rə[n]	li̠n	ljin	ɹən（lín）	rən	lin	rin	rin（lín）	rin（lín）	lǐen	rin	lien	來開三真平
粼	C-rjin		li̠n	ljin	ɹən（lín）	rən⸗rənh	lin	rin		r⁽ʱ⁾in（lín）	lǐen	rin⸗rins	lien	來開三真平⸗來開三真去
立	C-rjɨp⸗C-rjup⸗g-rjɨp⸗g-rjup	k.rəp	ru̠p	gljəp	ɹəp（lì）	rəp	lip	rəp	rəp（lì）		lǐəp	rɯb	liəp	來開三侵入入
涖	C-rjɨps		ru̠s			rəph	lis	rəts⸗rəps			liəp	rɯːbs⸗rɯbs	liər	來開三脂去⸗來開四齊去
栗	C-rjit	[r]i[t]	ri̠t	ljit	ɹik（lì）	rik	lit	rit	rʱit（lì）	rʱit（lì）	lǐet	rig	liet	來開三真入入
慄	C-rjit		ri̠t		ɹik（lì）	rik	lit	rit	rʱit（lì）	rʱit（lì）	lǐet	rig	liet	來開三真入入
利	C-rjits	C.ri[t]-s	ri̠rs	ljidh	ɹih（lì）	rikh	liᶜ	rih	rʱitɕ（lì）	rʱitɕ（lì）	lǐei	rids	lier	來開三脂去
穋	C-rjiwk⸗C-rjuk		ru̠k		ɹiuk（lù）	riuk	ljuk	ruk		r⁽ʱ⁾[ə]k（lù）	lǐuk	rɯwɢ	liəwk	來三東入入
李	C-rjɨʔ	C.rəʔ	re̠ʔ	ljəgx	ɹəʔ（lǐ）	rəʔ	lɨᴮ⸗ljəᴮ	rəʔ	rʱə́（lǐ）	rʱəʔ（lǐ）	lǐə	rɯʔ	liəɣ	來開三之上
里	C-rjɨʔ	(mə.)rəʔ	re̠ʔ	ljəgx	ɹəʔ（lǐ）	rəʔ	lɨᴮ⸗ljəᴮ	rəʔ	rə́（lǐ）	rəʔ（lǐ）	lǐə	rɯʔ	liəɣ	來開三之上
理	C-rjɨʔ	m(ə).rəʔ	re̠ʔ	ljəgx	ɹəʔ（lǐ）⸗ɹəʔ（lǐ）	rəʔ	ljəᴮ	rəʔ	rə́（lǐ）	rəʔ（lǐ）	lǐə	rɯʔ	liəɣ	來開三之上
裏	C-rjɨʔ	m.rəʔ	re̠ʔ	ljəgx	ɹəʔ（lǐ）	rəʔ	ljəᴮ	rəʔ		rʱəʔ（lǐ）	lǐə	rɯʔ	liəɣ	來開三之上
鯉	C-rjɨʔ	mə-rəʔ	re̠ʔ	ljəgx	ɹəʔ（lǐ）	rəʔ	ljəᴮ	rəʔ	rə́（lǐ）	rəʔ（lǐ）	lǐə	rɯʔ	liəɣ	來開三之上
婁	C-rjo	[r]o		ljug⸗lug	ɹɔ（lóu）	rˤo⸗ro	ljo⸗ljoᴮ⸗lo⸗loᴮ	ro⸗rjo⸗roʔ⸗rô⸗rôʔ	ro（lóu）	r⁽ʱ⁾o（lóu）	lǐwɔ⸗lɔ	g·roː⸗g·ro	liew⸗lew	來一侯平⸗來合三虞平
蔞	C-rjo			ljug⸗lug⸗ljugx	ɹɔ（lóu）	rˤo⸗ro⸗roʔ	ljo⸗ljoᴮ⸗lo	ro⸗roʔ⸗rô	rʱoː（lóu）	rʱo（lóu）	lɔ	roː⸗ro⸗roʔ	liew⸗lew⸗liew	來一侯平⸗來合三虞上⸗來合三虞平
瘻	C-rjo			ljug⸗lugh		rˤoh⸗ro	ljo	ro			lɔ	roːs⸗ro	liew⸗lew	來一侯去⸗來合三虞平
羸	C-rjoj	[r]o[j]		ljuar	ɹɔi（léi）⸗ɹɔi（léi）	roi	lɥaj	roj	rwaj（léi）		lǐwai	rol		來合三支平
緑	C-rjok		lo̠k		ɹɔk（lǜ）		ljok	rok				rog		來三鍾入入
龍	C-rjoŋ	[mə]-roŋ⸗mˤroŋ	ro̠ŋ	ljuŋ	ɹɔŋ（lóng）⸗[ɹ͂]ˁɔŋ（máng）	roŋ	ljoŋ⸗mɔŋ	roŋ⸗mrôŋ	roŋ（lóng）	roŋ（lóng）	lǐwɔŋ	b·roŋ	liewŋ	來三鍾平
旒	C-rju	[r]u	ru̠		ɹu（liú）	ru	lju	ru⸗rju		r⁽ʱ⁾u（liú）	lǐu	ru	liəw	來三尤平
劉	C-rju	mə-ru	ru̠	ljəgʷ	ɹu（liú）	ru	lju	ru	rʱu（liú）	rʱu（liú）	lǐu	m·ru	liəw	來三尤平
纍	C-rjuj	[r]uj		ljəd	ɹui（léi）	rui	lʷi	ruj	rwəj（léi）	r⁽ʱ⁾uj（léi）	lǐwəi	rul⸗ruls	liwər	來合三脂去⸗來合三脂平
