	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
漢	曉開一寒去	hɑnᶜ	hâns	hnaːns	n̥ˤar-s	xans	snans	hanh	n̥ˁalh（hàn）	n̥ˤanh	ŋ̥aːnh（hàn）	sŋaːrh（hàn）	han	xan	✓
䎯	曉開一寒去									n̥ˤanh					✓
𤅩	曉開一寒去	tʰɑn								n̥ˤanh					✓
𤳉	曉開一寒去									n̥ˤanh					✓
㿣	曉開一寒入									hˤat					✓
𠿒	曉開一寒入									hˤat					✓
𦤦	曉開一寒入・曉開一泰去									hˤat					✓
𩡔	曉開一寒入														
寒	匣開一寒平	gɑn	gân	gaːn	Cə.[g]ˤa[n]		gan	gan	gˁan（hán）	ɡˤan	gaːn（hán）		ɣan	gan	✓
汗	匣開一寒平・見開一寒平・匣開一寒去	gɑnᶜ	gâns	kaːn・gaːn・gaːns	Cə.[g]ˤa[r]-s			gan・ganh	gˁanh（hàn）	kˤan・ɡˤan・ɡˤanh	gaːnh（hàn）		ɣan・ɣan	gan・gan	✓
虷	匣開一寒平	gɑn	gân	gaːn				gan		ɡˤan				gan	✓
邗	匣開一寒平・見開一寒平	gɑn	gân	kaːn・gaːn				gan・kan		kˤan・ɡˤan				gan・kan	✓
邯	匣開一寒平・匣開一談平			gaːm・gaːm・gaːn	[g]ˤam・[g]ˤa[n]				gˁam（hán）・gˁam（hán）	ɡˤam			ɣam		✓
韓	匣開一寒平	gɑn	gân	gaːn	[g]ˤar		gan		gˁal（hán）	ɡˤan	g⁽ʱ⁾aːn（hán）				✓
鶾	匣開一寒平	gɑn	gân	gaːn				gan		ɡˤan				gan	✓
𦺦	匣開一寒平									ɡˤan					✓
𩏑	匣開一寒平	gɑn	gân							ɡˤan			ɣan	gan	✓
旱	匣開一寒上	gɑnᴮ	gânʔ	gaːnʔ	[g]ˤa[r]ʔ		ganʔ	ganx	gˁanʔ（hàn）	ɡˤanʔ	gʱáːn（hàn）		ɣan	gan	✓
皔	匣開一寒上			gaːnʔ						ɡˤanʔ					✓
䓍	匣開一寒上									ɡˤanʔ					✓
䛞	匣開一寒上									ɡˤanʔ					✓
𡷛	匣開一寒上									ɡˤanʔ					✓
垾	匣開一寒去			gaːns						ɡˤanh					✓
忓	匣開一寒去・見開一寒平	kɑn	kân	kaːn・gaːns				kan・ganh		kˤan・ɡˤanh				kan・gan	✓
悍	匣開一寒去	gɑnᶜ	gâns	gaːns				ganh		ɡˤanh			ɣan	gan	✓
扞	匣開一寒去	gɑnᶜ	gâns	gaːns	m-kˤa[r]-s			ganh	gˁanh（hàn）	ɡˤanh	gaːnh（hàn）			gan	✓
瀚	匣開一寒去			gaːns						ɡˤanh			ɣan		✓
矸	匣開一寒去・見開一寒上・見開一寒去	kɑn	kân・klân	kaːnʔ・kaːns・gaːns						kˤanʔ・kˤanh・ɡˤanh					✓
翰	匣開一寒去・匣開一寒平	gɑnᶜ	gân	gaːn・gaːns	[g]ˤar・[g]ˤar-s・m-kˤar-s	gans	gans	gan・ganh	gˁalh（hàn）・gˁalh（hàn）・gˁalh（hàn）・gˁalh（hàn）	ɡˤan・ɡˤanh	g⁽ʱ⁾aːnh（hàn）	g⁽ʱ⁾aːrh（hàn）	ɣan・ɣan	gan・gan	✓
螒	匣開一寒去			gaːns						ɡˤanh					✓
豻	匣開一寒去・溪開二刪平・疑開一寒去・疑開一寒平	ŋɑnᶜ	ŋâns	ŋaːn・ŋaːns・ɦŋaːns・ŋ̥ʰraːn	m-[ɢ]ˤa[r]-s			ŋan・kʰran・ganh・ŋanh	ŋˁanh（àn）	kʰrˤan・ɡˤanh・ŋˤanh	ŋ⁽ʱ⁾aːnh（yí）		ŋan	ŋan・kʰran・gan・ŋan	✓
釬	匣開一寒去	gɑnᶜ・kɑn	gâns・kân	gaːns				ganh		ɡˤanh			ɣan	gan	✓
銲	匣開一寒去			gaːns											✓
閈	匣開一寒去	gɑnᶜ	gâns	gaːns				ganh		ɡˤanh			ɣan	gan	✓
雗	匣開一寒去			gaːns						ɡˤanh					✓
馯	匣開一寒去・溪開二刪平	gɑnᶜ	gâns	gaːns・kʰraːn						ɡˤanh				gan	✓
駻	匣開一寒去			gaːns				ganh		ɡˤanh			ɣan	gan	✓
鼾	匣開一寒去・曉開一寒平			qʰaːn・ɢaːns				han・ganh		ɡˤanh			han・ɣan	xan・gan	✓
㢨	匣開一寒去									ɡˤanh					✓
㪋	匣開一寒去・曉開一歌上							ganh		ɡˤanh				gan	✓
㲦	匣開一寒去							ganh		ɡˤanh				gan	✓
䏷	匣開一寒去									ɡˤanh					✓
䮧	匣開一寒去・匣開一寒平							gan・ganh		ɡˤan・ɡˤanh				gan・gan	✓
𤿧	匣開一寒去									ɡˤanh					✓
𧃙	匣開一寒去・匣開一寒平									ɡˤan・ɡˤanh					✓
𩹼	匣開一寒去									ɡˤanh					✓
曷	匣開一寒入	gɑt	gât	gaːd	[g]ˤat	gat・ɦkat	gat	gat	gˁat（hé）	ɡˤat	gʱaːt（hé）		ɣat	gat	✓
毼	匣開一寒入	gɑt	gât	gaːd						ɡˤat				gat	✓
蝎	匣開一寒入	gɑt	gât	gaːd				gat		ɡˤat			ɣat	gat	✓
褐	匣開一寒入	gɑt	gât	gaːd	[ɢ]ˤat	gat	gat	gat	gˁat（hè）	ɡˤat	g⁽ʱ⁾aːt（hé）	g⁽ʱ⁾aːt（hè）	ɣat	gat	✓
鞨	匣開一寒入・船開三仙入			gaːd・ɢljad						ɡˤat					✓
餲	匣開一寒入・影開三B祭去・影開二夬去・影開一寒入	ʔɨ̯as・ʔas・ʔɑt	ʔats・ʔât・ʔâts	qraːds・qrads・gaːd・qaːd				ʔjiadh・ʔradh・gat・ʔat		ʔˤat・ʔrˤath・ɡˤat・ʔrath				ʔiar・ʔrar・gat・ʔat	✓
骱	匣開一寒入・見開二山入			gaːd・kreːd						krˤet					✓
鶡	匣開一寒入	gɑt・kʰɑt	gât・kʰât	gaːd				gat		ɡˤat				gat	✓
㮫	匣開一寒入														
䔾	匣開一寒入・溪開三B祭去							kʰjiadh		kʰrath					✓
䫘	匣開一寒入・曉開一寒入									ɡˤat・hˤat					✓
𩩲	匣開一寒入									ɡˤat					✓
幱	來開一寒平			g·raːn						rˤan					✓
攔	來開一寒平	lɑn	rân	g·raːn						rˤan					✓
斓	來開一寒平														
欄	來開一寒平	lɑn・lenᶜ	rân・rêns	g·raːn						rˤan			lan	lan	✓
欗	來開一寒平														
籣	來開一寒平			g·raːn				lan		rˤan				lan	✓
蘭	來開一寒平	lɑn	rân	g·raːn	k.rˤan	g-ran	ran	glan	ɹˁan（lán）	rˤan	raːn（lán）		lan	lan	✓
躝	來開一寒平			g·raːn						rˤan					✓
闌	來開一寒平	lɑn	rân	g·raːn	[r]ˤan			glan	ɹˁan（lán）	rˤan	raːn（lán）		lan	lan	✓
㘓	來開一寒平									rˤan					✓
䪍	來開一寒平									rˤan					✓
𨷻	來開一寒平									rˤan					✓
嬾	來開一寒上			raːnʔ				lanx		rˤanʔ				lan	✓
懶	來開一寒上			raːnʔ	[N-kə.]rˤanʔ				ɹˁanʔ（lǎn）	rˤanʔ	ráːn（lǎn）		lan		✓
灡	來開一寒上														
讕	來開一寒上・來開一寒去・來開一寒平	lɑn・lɑnᴮ	rân・rânʔ	g·raːn・g·raːnʔ・g·raːns				glan・glanx・lanh		rˤan・rˤanʔ・rˤanh			lan	lan・lan・lan	✓
𥻂	來開一寒上									rˤanʔ					✓
𥽭	來開一寒上									rˤanʔ					✓
瀾	來開一寒去・來開一寒平	lɑn・lɑnᶜ	rân・râns	g·raːn・g·raːns	[r]ˤanʔ			glan・glanh	ɹˁanʔ（）	rˤan・rˤanh	raːn（lán）		lan	lan・lan	✓
爛	來開一寒去	lɑnᶜ	râns	g·raːns・g·raːnʔ	[r]ˤan-s	C-rans	rans		ɹˁanh（làn）	rˤanh	raːnh（làn）	raːnh（làn）	lan		✓
爤	來開一寒去	lɑnᶜ	râns	g·raːns	[r]ˤan-s			lanh	ɹˁanh（làn）	rˤanh				lan	✓
糷	來開一寒去			g·raːns						rˤanh					✓
鑭	來開一寒去			g·raːns						rˤanh					✓
𢒞	來開一寒去									rˤanh					✓
剌	來開一寒入	lɑt	rât	raːd	mə.rˤat・C.rˤat❓	C-rat		lat	ɹˁat（là）	rˤat	r⁽ʱ⁾aːt（là）		lat	lat	✓
喇	來開一寒入														
揧	來開一寒入			raːd						rˤat					✓
攋	來開一寒入			raːds・reːdʔ・raːd						rˤat					✓
楋	來開一寒入			raːd				lat		rˤat				lat	✓
瘌	來開一寒入			raːd				lat		rˤat			lat	lat	✓
糲	來開一寒入・來開一泰去・來開三祭去	lɑt・lɑs・ljas	rât・râts・rats	m·raːds・m·rads・m·raːd	[r]ˤat-s・[r]ˤat・[r]at-s			ljadh・lat	ɹaθ（lì）・ɹˁaθ（lài）・ɹˁat（lì）	rˤat・rath			lat	liar・lar・lat	✓
蝲	來開一寒入			raːd						rˤat					✓
辢	來開一寒入			raːd						rˤat			lat		✓
辣	來開一寒入			raːd	mə.rˤat・C.rˤat❓				ɹˁat（là）		raːt（là）				✓
鬎	來開一寒入														
㻝	來開一寒入							lat		rˤat				lat	✓
䓶	來開一寒入・來開一泰去									rˤat・rˤath					✓
䶛	來開一寒入													lat	✓
𢃴	來開一寒入							lat		rˤat				lat	✓
𢈠	來開一寒入														
𥈙	來開一寒入									rˤat					✓
丹	端開一寒平	tɑn	tân	taːn	tˤan	tan	tan	tan	tˁan（dān）	tˤan	taːn（dān）		tan	tan	✓
匰	端開一寒平	tɑn	tân	taːn				tan		tˤan				tan	✓
單	端開一寒平・常開三仙平・常開三仙上・常開三仙去	dʑan・tɑn	dan・tân	taːn・djan・djanʔ・djans	dar・[d]ar・Cə.tˤar	tan	tal・da̠l	tan・djan・djanx・djanh	dal（chán）・tˁal（dān）	tˤan・dan・danʔ❓・danh	taːn（dān）	taːr（dān）	tan・ʑǐan・ʑǐan	tan・djian・djian・djian	✓
殫	端開一寒平	tɑn	tân	taːn				tan		tˤan			tan	tan	✓
簞	端開一寒平	tɑn	tân	taːn			tal	tan		tˤan			tan	tan	✓
襌	端開一寒平	tɑn	tân	taːn				tan		tˤan				tan	✓
鄲	端開一寒平	tɑn	tân	taːn	tˤa[r]			tan	tˁal（dān）	tˤan	taːn（dān）		tan	tan	✓
㠆	端開一寒平									tˤan					✓
䐷	端開一寒平									tˤan					✓
亶	端開一寒上	tɑnᴮ	tânʔ	taːnʔ	tˤanʔ	tanʔ	tanʔ	tjan・tanx	tˁanʔ（dǎn）	tˤanʔ	táːn（dǎn）	taːnʔ（dǎn）	tan	tjian・tan	✓
担	端開一寒上			taːnʔ						tˤanʔ					✓
狚	端開一寒上・端開一寒入・端開一寒去			taːnʔ・taːns・taːd						tˤanʔ・tˤanh・tˤat					✓
疸	端開一寒上・端開一寒去			taːnʔ・taːns				tanx・tanh		tˤanʔ・tˤanh			tan	tan・tan	✓
笪	端開一寒上・端開一寒入・端開一寒去			taːnʔ・taːns・taːd				tanx・tanh・tat		tˤanʔ・tˤanh・tˤat			tat	tan・tat	✓
𤺺	端開一寒上	tɑnᴮ	tânʔ		tˤanʔ				tˁanʔ（dǎn）	tˤanʔ				tan	✓
旦	端開一寒去	tɑnᶜ	tâns・tât	taːns	tˤan-s	tans	tans	tanh	tˁanh（dàn）	tˤanh	taːnh（dàn）	taːnh（dàn）	tan	tan	✓
鴠	端開一寒去	tɑnᶜ	tâns	taːns				tanh		tˤanh				tan	✓
㡺	端開一寒去									tˤanh					✓
𢘇	端開一寒去							tanh						tan	✓
噠	端開一寒入														
妲	端開一寒入			taːd						tˤat			tat		✓
怛	端開一寒入・端開一寒去	tɑt	tât・tâns	taːd	tˤat	tat	tat	tat	tˁat（dá）	tˤanh・tˤat	taːt（dá）	taːt（dá）	tat	tat	✓
炟	端開一寒入			taːd				tat		tˤat				tat	✓
䵣	端開一寒入							tat		tˤat				tat	✓
𢛁	端開一寒入														
𦬹	端開一寒入									tˤat					✓
擹	透開一寒平			n̥ʰaːn						n̥ˤan					✓
癱	透開一寒平			n̥ʰaːn											✓
㨏	透開一寒平														
坦	透開一寒上	tʰɑnᴮ	tʰânʔ	tʰaːnʔ	[tʰ]ˤa[n]ʔ			tʰanx	tʰˁanʔ（tǎn）	tʰˤanʔ	tʰáːn（tǎn）		tʰan	tʰan	✓
鉭	透開一寒上														
䦔	透開一寒上									tʰˤanʔ					✓
嘆	透開一寒去・透開一寒平	tʰɑn・tʰɑnᶜ	n̥ân・n̥âns	n̥ʰaːn・n̥ʰaːns	n̥ˤar-s	hnan	snals	hnan・hnanh	n̥ˁalh（tàn）	n̥ˤan・n̥ˤanh	n̥aːnh（tàn）	snaːr（tàn）	tʰan	tʰan・tʰan	✓
歎	透開一寒去	tʰɑn・tʰɑnᶜ	n̥ân・n̥âns	n̥ʰaːns	n̥ˤar	hnan(s)		hnanh	n̥ˁal（tān）	n̥ˤanh	n̥aːnh（tàn）	snaːr（tān）	tʰan	tʰan	✓
湠	透開一寒去			tʰaːns						l̥ˤanh					✓
炭	透開一寒去	tʰɑnᶜ	tʰâns	tŋ̥ʰaːns	[tʰ]ˤa[n]-s	tʰans		tʰanh	[ɫ̥]ˁanh（tàn）	l̥ˤanh	tʰaːnh（tàn）		tʰan	tʰan	✓
碳	透開一寒去														
㛶	透開一寒去									l̥ˤanh					✓
𣁗	透開一寒去									l̥ˤanh					✓
撻	透開一寒入	tʰɑt	tʰât	tʰaːd・tʰaːd			sat	tʰat		l̥ˤat			tʰat	tʰat	✓
澾	透開一寒入			tʰaːd						l̥ˤat					✓
羍	透開一寒入	tʰɑt	tʰât	tʰaːd				tʰat	[l̥]ˁat（tà）	l̥ˤat				tʰat	✓
躂	透開一寒入			tʰaːd						l̥ˤat					✓
達	透開一寒入・定開一寒入	dɑt・tʰɑt	dât・tʰât	tʰaːd・daːd	[l]ˤat	(h)lat	sat・zat	tʰat・dat	[l]ˁat（dá）	l̥ˤat・lˤat	d⁽ʱ⁾aːt（dá）	l⁽ʱ⁾aːt（dá）	dat	dat	✓
闥	透開一寒入	tʰɑt	tʰât	tʰaːd		hlat	sat		[l̥]ˁat（tà）	l̥ˤat	tʰaːt（tà）	slaːt（tà）	tʰat	tʰat	✓
韃	透開一寒入														
㒓	透開一寒入									l̥ˤat					✓
𣥂	透開一寒入									tʰˤat					✓
𦍒	透開一寒入				l̥ˤat				[l̥]ˁat（tà）	l̥ˤat					✓
儃	定開一寒平・常開三仙平	tʰɑnᴮ・dʑan	tʰânʔ・dan	daːn・djan				djan		dˤan・dan				djian	✓
唌	定開一寒平			l'aːn											✓
壇	定開一寒平	dɑn	dân	daːn	[d]anʔ・[d]ˤan			dan	danʔ（shàn）・dˁan（tán）	dˤan	daːn（tán）		dan	dan	✓
彈	定開一寒平・定開一寒去	dɑn・dɑnᶜ	dân・dâns	daːn・daːns・daːns	[d]ˤar-s・Cə.dˤar・[d]ˤar			dan・danh	dˁal（tán）・dˁal（tán）・dˁalh（dàn）	dˤan・dˤanh	dʱaːn（tán）		dan・dan	dan・dan	✓
檀	定開一寒平	dɑn	dân	daːn		dan	dan	dan	dˁan（tán）	dˤan	dʱaːn（tán）	dʱaːn（tán）	dan	dan	✓
癉	定開一寒平・端開一歌上・端開一歌去・端開一寒平	tɑnᴮ・tɑjᶜ	tânʔ・tâjh	taːlʔ・taːls・taːn・daːn	tˤanʔ	tanʔ	tarʔ	tan・dan	tˁanʔ（dǎn）	tˤan・tˤaih・dˤan	táːn（dǎn）	taːnʔ（dǎn）	tan	tan・dan・ta	✓
繟	定開一寒平・昌開三仙上	tɕanᴮ	tʰanʔ	tʰjanʔ				dan・tʰjanx		dˤan・tʰanʔ				dan・tʰjian	✓
聅	定開一寒平・徹開三仙入			daːn・tʰad						lˤan・l̥rat					✓
胆	定開一寒平			daːn・daːn						dˤan					✓
驙	定開一寒平・知開三仙平			daːn・tan				dan・trjan		dˤan・tran				dan・tian	✓
鷤	定開一寒平・定開四齊去・定開四齊平			deːl・deːls・daːn						dˤan					✓
但	定開一寒上・定開一寒平・定開一寒去	dɑnᴮ	dânʔ	daːn・daːnʔ・daːns	[d]ˤa[n]ʔ			dan・danx・danh	dˁanʔ（dàn）	dˤan・dˤanʔ・dˤanh	dʱáːn（dàn）		dan・dan	dan・dan・dan	✓
僤	定開一寒上・定開一寒去・常開三仙平	tɑnᴮ	tânʔ	daːnʔ・daːns・djan			talʔ	djan・danx・danh		dˤanʔ・dˤanh・dan			dan	djian・dan・dan	✓
潬	定開一寒上			daːnʔ						dˤanʔ					✓
疍	定開一寒上														
繵	定開一寒上	tɑnᶜ・dɑnᴮ	tâns・dânʔ	daːnʔ						dˤanʔ					✓
膻	定開一寒上	ɕan	l̥an	daːnʔ	s.tan				[l̥]an（shān）	dˤanʔ					✓
蛋	定開一寒上			l'aːns											✓
蜑	定開一寒上			l'aːnʔ						lˤanʔ					✓
袒	定開一寒上・澄開二山去	dɑnᴮ	dânʔ	daːnʔ・rdeːns				danx・drianh		dˤanʔ				dan・drian	✓
襢	定開一寒上・知開三仙上・知開三仙去	dɑnᴮ・ʈjanᴮ・ʈjanᶜ	dânʔ・tranʔ・trans	daːnʔ・tanʔ・tans	tra[n]ʔ・tra[n]ʔ-s	trjan(ʔ)s	danʔ		tʴanʔ（zhàn）・tʴanʔ（zhàn）・tʴanh（zhàn）	dˤanʔ・tranʔ・tranh	trán（zhǎn）			dan・tian・tian	✓
觛	定開一寒上・端開一寒上・端開一寒去			taːnʔ・taːns・daːnʔ				tanx・tanh		tˤanʔ・tˤanh・dˤanʔ				tan・tan	✓
誕	定開一寒上	dɑnᴮ	lânʔ	l'aːnʔ			zanʔ	danx		lˤanʔ				dan	✓
䩥	定開一寒上									lˤanʔ					✓
憚	定開一寒去	dɑnᶜ・tɑjᶜ	dâns・tâjh	daːns			dals	danh		dˤanh			dan	dan	✓
撣	定開一寒去・定開一寒平・常開三仙平	dɑn・dʑan	dân・dan	daːn・daːnʔ・daːns・djan・taːnʔ				dan・djan・danh		dˤan・dˤanh・dan			dan	dan・djian・dan	✓
澶	定開一寒去・常開三仙平	dɑnᶜ	dâns	daːns・djan				djan		dˤanh・dan				djian	✓
墶	定開一寒入														
薘	定開一寒入			daːd						lˤat					✓
鐽	定開一寒入														
難	泥開一寒平・泥開一寒去	nɑn・nɑnᶜ	nân・nâns	n̥ʰaːn・naːns	nˤar・nˤar-s	nan(s)	nal・nals	nan・nanh	nˁal（nán）・nˁalh（nàn）	nˤan・nˤanh	naːn（nán）	naːr（nán）	nan・nan	nan・nan	✓
𧆖	泥開一寒平														
𩁘	泥開一寒平														
𩁚	泥開一寒平									nˤan					✓
𩁢	泥開一寒平									nˤan					✓
𩁣	泥開一寒平														
𪇠	泥開一寒平														
𪇼	泥開一寒平									nˤan					✓
攤	泥開一寒上・泥開一寒去・透開一寒平			n̥ʰaːn・naːnʔ・naːns						n̥ˤan・nˤanh			tʰan		✓
𢆃	泥開一寒去・泥合一灰平														
𦍀	泥開一寒去							nanh		nˤanh					✓
捺	泥開一寒入			naːd											✓
䖧	泥開一寒入														
臢	精開一寒平														
䰖	精開一寒上・精開一寒入・精開一寒去									tsˤanh					✓
𩯳	精開一寒上・精開一寒入・精開一寒去														
濽	精開一寒去			ʔsaːns											✓
灒	精開一寒去							tsanh		tsˤanh			tsan	tsan	✓
讃	精開一寒去														
讚	精開一寒去	tsɑnᶜ	tsâns	ʔsaːns						tsˤanh			tsan	tsan	✓
賛	精開一寒去														
贊	精開一寒去	tsɑnᶜ	tsâns	ʔsaːns	tsˤarʔ-s			tsanh	[ts]ˁa[n]h（zàn）	tsˤanh	tsaːnh（zàn）		tsan	tsan	✓
饡	精開一寒去			ʔsaːns				tsanh		tsˤanh				tsan	✓
𡳋	精開一寒去														
拶	精開一寒入			ʔslaːd											✓
㳨	精開一寒入														
𨀨	精開一寒入														
𫏎	精開一寒入														
湌	清開一寒平			shaːn						tsʰˤan					✓
飡	清開一寒平														
餐	清開一寒平	tsʰɑn	tsʰân	shaːn		tshan	ȶhan	tsʰan	tsˁan（cān）	tsʰˤan	tsʰaːn（cān）	tɕʰaːn（cān）	tsʰan	tsʰan	✓
䉔	清開一寒平														
䱗	清開一寒平														
燦	清開一寒去	tsʰɑnᶜ	tsʰâns	shaːns						tsʰˤanh			tsʰan		✓
璨	清開一寒去			shaːns						tsʰˤanh			tsʰan		✓
粲	清開一寒去	tsʰɑnᶜ	tsʰâns	shaːns	[tsʰ]ˤar-s	tshans	ȶhans	tsʰanh	tsˁanh（càn）	tsʰˤanh	tsʰaːnh（cān）	tɕʰaːnh（càn）	tsʰan	tsʰan	✓
薒	清開一寒去			shaːns						tsʰˤanh					✓
㛑	清開一寒去							tsʰanh		tsʰˤanh				tsʰan	✓
𪆶	清開一寒去									tsʰˤanh					✓
礤	清開一寒入			shlaːd											✓
䌨	清開一寒入														
帴	從開一寒平・心開一寒去・生開二山入・精開三仙上・精開四先平	dzjanᴮ・tsjan	dzanʔ・tsan	zlaːn・saːns・ʔslenʔ・ʔsleːn・sreːd				dzan・tsian		tsˤen・dzˤan・tsanʔ				dzan・tsean	✓
戔	從開一寒平	dzɑn・dzen	dzân・dzên	zlaːn	[dz]ˤa[n]			dzan	dʒˁan（jiān）	dzˤan	zaːn（cán）		dzan	dzan	✓
殘	從開一寒平	dzɑn	dzân	zlaːn・zaːns	[dz]ˤa[n]	dzan	ȡan	dzan	dʒˁan（cán）	dzˤan	zʱaːn（cán）	dʑ⁽ʱ⁾aːn（cán）	dzan	dzan	✓
㱚	從開一寒平・疑合二刪入									dzˤan・ŋwrˤat					✓
𣦻	從開一寒平							dzan						dzan	✓
𣦼	從開一寒平	dzɑn	dzân							dzˤan					✓
𥂥	從開一寒平														
瓉	從開一寒上														
瓚	從開一寒上・從開一寒去	dzɑnᴮ	dzânʔ	zaːnʔ				dzanx		dzanʔ	z⁽ʱ⁾áːn（zàn）		dzan	dzan	✓
禶	從開一寒上			zaːnʔ・zoːn						dzanʔ					✓
趲	從開一寒上・精開一寒上・精開一寒去			ʔsaːns・zaːnʔ						tsˤanh・dzanʔ			dzan		✓
䟎	從開一寒上・精開一寒去														
㜺	從開一寒去・精開一寒去							tsanh・dzanh		tsˤanh				tsan・dzan	✓
䏼	從開一寒去・從開一寒平									dzˤan					✓
𣧻	從開一寒去														
囋	從開一寒入・從開一寒去			zaːns・zaːd											✓
囐	從開一寒入			sgaːd											✓
㩵	從開一寒入・疑開一寒入									ŋˤat					✓
𡂐	從開一寒入・從開一寒去														
姍	心開一寒平							san		sˤan			san	san	✓
珊	心開一寒平	sɑn		slaːn				san		sˤan			san	san	✓
跚	心開一寒平			slaːn						sˤan			san		✓
𡜜	心開一寒平														
𦙱	心開一寒平									sˤan					✓
𦙽	心開一寒平														
𦚻	心開一寒平														
𨀢	心開一寒平														
傘	心開一寒上			saːnʔ	[s]ˤarʔ				sˁa[n]ʔ（sǎn）	sˤanʔ	sáːn（sǎn）				✓
散	心開一寒上・心開一寒去	sɑnᴮ・sɑnᶜ	sânʔ・sâns	saːnʔ・saːns	[s]ˤa[n]ʔ・mə-sˤa[n]ʔ-s	san(ʔ)s・sanʔ	ɕanʔ		sˁanʔ（sǎn）・sˁanh（sàn）	sˤanʔ・sˤanh	saːnh（sàn）		san・san	san・san	✓
糤	心開一寒上			saːnʔ						sˤanʔ					✓
繖	心開一寒上・心開一寒去			saːnʔ・saːns						sˤanʔ・sˤanh			san		✓
鏾	心開一寒上			saːnʔ						sˤanʔ					✓
饊	心開一寒上			saːnʔ				sanx		sˤanʔ			san	san	✓
䉈	心開一寒上・心開一寒入									sˤanʔ					✓
𢄻	心開一寒上									sˤanʔ					✓
𢽳	心開一寒上							sanx		sˤanʔ				san	✓
𢿨	心開一寒上・心開一寒去														
𣀧	心開一寒上・心開一寒去							sanx						san	✓
䈀	心開一寒去・心開一寒平							san・sanh		sˤan				san・san	✓
𢿱	心開一寒去・心開一寒上							sanx・sanh		sˤanʔ・sˤanh				san・san	✓
𥮚	心開一寒去・心開一寒平														
𦇕	心開一寒去														
摋	心開一寒入・生開三仙入			slaːd	sˤat			sat	[ɫ̥]ˁat（sà）	sˤat	saːt（sā）		sat	sat	✓
撒	心開一寒入	sɑt	sât	saːd											✓
攃	心開一寒入・清開一寒入			shlaːd・saːd											✓
薩	心開一寒入	sɑt		saːd											✓
躠	心開一寒入	sɑt・set	sât・sêt	sŋaːd				sat						sat	✓
𠱡	心開一寒入・生開二夬去														
𥻦	心開一寒入							sat		sˤat				sat	✓
𦼧	心開一寒入														
𨐖	心開一寒入									sˤat					✓
扮	幫二山去・見開二山入・幫三C文平・幫三C文上・並三C文上	bun・bunᴮ	bən・bənʔ	prɯːns・hmroːlʔ・hʷreːiʔ・pɯn・pɯnʔ				pjən・pjənx・bjənx・prənh		pən・pənʔ・bənʔ			peən	pjwən・pjwən・bjwən・prwən	✓
八	幫二山入	pɛt	prêt	preːd	pˤret		prot	priat	pʴˁɛt（bā）	prˤet	preːt（bā）		pet	pret	✓
哵	幫二山入			preːd						prˤet					✓
朳	幫二山入			preːd						prˤet					✓
玐	幫二山入			preːd						prˤet					✓
釟	幫二山入			preːd						prˤet					✓
㺴	幫二山入														
䤢	幫二山入									prˤet					✓
𩡩	幫二山入			preːd				prit		prˤet				pret	✓
盼	滂二山去	pʰɛnᶜ	pʰrîns	pʰrɯːns		pʰrins	phins	pʰrənh	pʰʴˁ[ə]nh（pàn）	pʰrˤənh	pʰrəːnh（pàn）	prəːnh（pàn）	pʰeən	pʰrwən	✓
𥌊	滂二山去・並二山去							brianh・pʰrianh		pʰrˤenh・brˤenh				briwan・pʰriwan	✓
叭	滂二山入														
